Seq #,Station Type,Station Name,Test Sequence,Port,Proc #,Area,Area Category,Stn Opts+,Stn Opts-,Status,Tested @,Start Time,Test Time,Comments
3,ET55946,Align-X,Initialization,CPU,6,2,2,,,PASSED,alignx2,1/15/2026 15:18,00:00:02,B
4,ET55946,Align-X,Download G2.4,CPU,8,2,2,,,PASSED,alignx2,1/15/2026 15:18,01:34:48,B
5,ET55946,Align-X,Download G2.4,CPU,9,2,2,,,PASSED,alignx2,1/15/2026 16:55,00:00:09,B
6,ET55946,Align-X,Initialization,CPU,2,2,2,,,PASSED,alignx2,1/15/2026 16:55,00:02:23,B
7,ET55946,Align-X,Initialization,CPU,3,2,2,,,PASSED,alignx2,1/15/2026 17:01,00:00:03,B
8,ET55946,Align-X,Download,CPU,3,2,2,,,PASSED,alignx2,1/15/2026 17:02,00:00:35,B
9,ET55946,Align-X,Array Default G2.4,RF1,10,2,2,,,PASSED,alignx2,1/15/2026 17:04,00:00:14,B; Y (N5886A - CHANNEL 1)
13,ET55946,Align-X,Abus Adjustments G2.4,CPU,2,2,2,,,PASSED,alignx2,1/15/2026 17:04,00:00:23,B
14,ET55946,Align-X,Abus Adjustments G2.4,RF1,2,2,2,,,PASSED,alignx2,1/15/2026 17:05,00:00:22,B; Y (N5886A - CHANNEL 1)
18,ET55946,Align-X,SelfTest G2.4,RF1,2,2,2,,,PASSED,alignx2,1/15/2026 17:06,00:01:36,Y (N5886A - CHANNEL 1)
22,ET55946,Align-X,Reference Adjustments G2.4,CPU,3,2,2,,,PASSED,alignx2,1/15/2026 17:08,00:16:13,B
23,ET55946,Align-X,Functional Tests,RF1,3,2,2,,,PASSED,alignx2,1/15/2026 17:40,13:31:11,B; Y (N5886A - CHANNEL 1)
24,ET55946,Align-X,Functional Tests,RF1,13,2,2,,,PASSED,alignx3,1/16/2026 08:10,01:01:43,B; Y (N5886A - CHANNEL 1)
28,ET55946,Align-X,Functional Tests,CPU,15,2,2,,,PASSED,alignx3,1/16/2026 09:15,00:04:40,B
29,ET55946,Align-X,Adjustments G2.4,RF1,40,2,2,,,PASSED,alignx3,1/16/2026 09:20,01:31:13,B; Y (N5886A - CHANNEL 1)
33,ET55946,Align-X,Acpr,RF1,2,2,2,,,PASSED,alignx3,1/16/2026 10:52,00:04:38,Y (N5886A - CHANNEL 1)
37,ET57033,PNA-X,Source Adjustments G2.4,RF1,5,2,2,256,,PASSED,gdrss3-45,1/17/2026 13:20,02:13:19,A; M (Diversity group A); Y (N5886A - CHANNEL 1)
41,ET57033,PNA-X,Source Adjustments G2.4,RF1,21,2,2,256,,PASSED,gdrss3-45,1/17/2026 15:33,01:48:11,J (002;003;004 - any); K (Dependency group F parent); M (Diversity group D); Y (N5886A - CHANNEL 1)
46,ET57033,PNA-X,Amplitude Accuracy,RF1,3,2,2,,,PASSED,gdrss3-45,1/17/2026 17:24,00:20:59,A; Y (N5886A - CHANNEL 1)
50,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,51,2,2,256,,PASSED,gdrss3-45,1/17/2026 18:51,01:47:34,A; Y (N5886A - CHANNEL 1)
51,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,52,2,2,256,,PASSED,gdrss3-45,1/17/2026 21:11,03:43:51,A; Y (N5886A - CHANNEL 1)
52,ET57033,PNA-X,Receiver Adjustments G2.4,RF1,53,2,2,256,,PASSED,gdrss3-45,1/18/2026 01:34,00:43:40,A; Y (N5886A - CHANNEL 1)
62,ET57033,PNA-X,Amplitude Accuracy,RF1,30,2,2,,,PASSED,gdrss3-45,1/18/2026 02:20,01:07:00,A; Y (N5886A - CHANNEL 1)
74,ET57033,PNA-X,Source Alignment,RF1,64,2,2,,,PASSED,gdrss3-45,1/18/2026 03:27,00:00:17,A; Y (N5886A - CHANNEL 1)
78,ET54730,ACLR-Testing,System Alignments G2.4,RF1,60,2,2,73728,,PASSED,gdrss3-57,1/18/2026 18:36,00:07:42,A; Y (N5886A - CHANNEL 1)
82,ET57381,Peanuts Phase Noise,Reference PhaseNoise,RF1,5,2,2,,,PASSED,pnoise103,1/18/2026 19:03,00:39:13,B; Y (N5886A - CHANNEL 1)
83,ET57381,Peanuts Phase Noise,PhaseNoise Calibration,RF1,1,2,2,,,PASSED,pnoise103,1/18/2026 19:44,00:15:51,B; Y (N5886A - CHANNEL 1)
84,ET57381,Peanuts Phase Noise,Store Cal Arrays,CPU,6,2,2,,,PASSED,pnoise103,1/18/2026 20:00,00:01:19,
85,ET43064,YS Loading Gate,Loading Gate G2.4,CPU,29,2,2,,,PASSED,ys2gate01,1/18/2026 21:18,00:03:22,
86,Insert test plan: N5886A,B; C; Q,,,,,,,,,,,,
87,ET57033,PNA-X,Amplitude Accuracy,RF1,4,2,2,256,,PASSED,gdrss3-03,1/19/2026 14:03,00:53:48,K (Dependency group C parent); M (Diversity group A); Y (N5886A - CHANNEL 1)
88,ET57033,PNA-X,Amplitude Accuracy,RF1,8,2,2,,,PASSED,gdrss3-03,1/19/2026 14:57,00:12:52,Y (N5886A - CHANNEL 1)
89,ET57033,PNA-X,Amplitude Accuracy,RF1,10,2,2,256,,PASSED,gdrss3-03,1/19/2026 15:11,00:12:37,Y (N5886A - CHANNEL 1)
90,ET57033,PNA-X,Amplitude Accuracy,RF1,12,2,2,256,,PASSED,gdrss3-03,1/19/2026 15:24,02:38:51,Y (N5886A - CHANNEL 1)
91,ET57033,PNA-X,Phase Measurements,RF1,31,2,2,256,,PASSED,gdrss3-03,1/19/2026 18:03,00:27:57,K (Dependency group F child); M (Diversity group D); Y (N5886A - CHANNEL 1)
92,ET54730,ACLR-Testing,Phase Measurements,RF1,32,2,2,,,PASSED,gdrss3-17,1/19/2026 18:36,00:25:56,K (Dependency group F child); Y (N5886A - CHANNEL 1)
93,ET54730,ACLR-Testing,Amplitude Accuracy Using SA,RF1,8,2,2,,,PASSED,gdrss3-17,1/19/2026 19:03,00:58:34,K (Dependency group C child); Y (N5886A - CHANNEL 1)
94,ET54730,ACLR-Testing,Digital Modulation,RF1,3,2,2,16384,,PASSED,gdrss3-51,1/19/2026 20:23,00:51:56,Y (N5886A - CHANNEL 1)
95,ET54730,ACLR-Testing,Channel Flatness,RF1,5,2,2,73728,,PASSED,gdrss3-51,1/19/2026 21:15,00:04:42,Y (N5886A - CHANNEL 1)
96,ET54730,ACLR-Testing,Channel Flatness,RF1,6,2,2,73728,,PASSED,gdrss3-51,1/19/2026 21:21,01:01:35,Y (N5886A - CHANNEL 1)
97,ET54730,ACLR-Testing,Spectral,RF1,3,2,2,,,PASSED,gdrss3-51,1/19/2026 22:26,00:11:10,Y (N5886A - CHANNEL 1)
98,ET54730,ACLR-Testing,Spectral,RF1,4,2,2,,,PASSED,gdrss3-51,1/19/2026 22:38,00:04:15,Y (N5886A - CHANNEL 1)
99,ET54730,ACLR-Testing,Spectral,RF1,5,2,2,,,PASSED,gdrss3-51,1/19/2026 22:42,00:06:04,Y (N5886A - CHANNEL 1)
100,ET54730,ACLR-Testing,Spectral,RF1,6,2,2,,,PASSED,gdrss3-51,1/19/2026 22:49,00:10:33,Y (N5886A - CHANNEL 1)
101,ET54730,ACLR-Testing,Spectral,RF1,7,2,2,,,PASSED,gdrss3-51,1/19/2026 23:00,00:02:19,Y (N5886A - CHANNEL 1)
102,ET54730,ACLR-Testing,Acpr,RF1,3,2,2,,4096,PASSED,gdrss3-51,1/19/2026 23:03,02:27:29,Y (N5886A - CHANNEL 1)
103,ET54730,ACLR-Testing,Pulse Modulation G2.4,RF1,2,2,2,,4096,PASSED,gdrss3-51,1/20/2026 01:34,00:24:06,Y (N5886A - CHANNEL 1)
104,ET55857,X-Mod,Pulse Modulation G2.4,RF1,13,2,2,8,,PASSED,gdrss3-22,1/19/2026 01:38,00:37:31,Y (N5886A - CHANNEL 1)
105,ET55857,X-Mod,Analog Modulation G2.4,RF1,4,2,2,,,PASSED,gdrss3-21,1/19/2026 02:56,00:46:25,Y (N5886A - CHANNEL 1)
106,ET55857,X-Mod,Analog Modulation G2.4,RF1,5,2,2,,,PASSED,gdrss3-21,1/19/2026 03:43,01:38:29,Y (N5886A - CHANNEL 1)
107,ET55857,X-Mod,Avionics G2.4,RF1,2,2,2,8,,PASSED,gdrss3-21,1/19/2026 05:23,01:02:58,Y (N5886A - CHANNEL 1)
108,ET55857,X-Mod,Switching Speed,RF1,13,2,2,8,,PASSED,gdrss3-21,1/19/2026 06:28,01:06:19,Y (N5886A - CHANNEL 1)
109,ET57381,Peanuts Phase Noise,PhaseNoise,RF1,2,2,2,,,PASSED,pnoise104,1/18/2026 22:56,00:37:02,Y (N5886A - CHANNEL 1)
110,ET57381,Peanuts Phase Noise,PhaseNoise Medium,RF1,3,2,2,,,PASSED,pnoise104,1/18/2026 23:33,00:30:27,Y (N5886A - CHANNEL 1)
111,ET57381,Peanuts Phase Noise,PhaseNoise Standard,RF1,4,2,2,,,PASSED,pnoise104,1/19/2026 00:05,00:30:26,Y (N5886A - CHANNEL 1)
187,ET55946,Align-X,Functional Tests,RF1,8,2,2,,,PASSED,gdrss3-33,1/20/2026 18:04,00:06:48,A; G (Ship It); Y (N5886A - CHANNEL 1)
191,ET54791,POSTPONEMENT,Functional Tests G2.4,CPU,15,2,2,,,PASSED,gdrss24,1/21/2026 07:35,00:01:19,A; G (Ship It)
192,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 09:06,00:53:58,A; G (Ship It)
193,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,3,2,2,,,PASSED,gdrss96,1/21/2026 10:00,00:07:08,A; G (Ship It)
194,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,5,2,2,,,PASSED,gdrss96,1/21/2026 10:08,00:00:10,A; G (Ship It)
195,ET54791,POSTPONEMENT,Reconfig G2.4,CPU,6,2,2,,,PASSED,gdrss96,1/21/2026 10:08,00:00:58,A; G (Ship It)
196,ET54791,POSTPONEMENT,CustomerInit,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 10:10,00:06:10,A; G (Ship It)
197,ET54791,POSTPONEMENT,CustomerInit,CPU,3,2,2,,,PASSED,gdrss96,1/21/2026 10:16,00:00:03,A; G (Ship It)
198,ET54791,POSTPONEMENT,Functional Tests G2.4,RF1,5,2,2,,,PASSED,gdrss96,1/21/2026 10:17,00:11:03,A; G (Ship It); Y (N5886A - CHANNEL 1)
202,ET54791,POSTPONEMENT,FinalConfiguration,CPU,2,2,2,,,PASSED,gdrss96,1/21/2026 10:41,00:00:20,G (Ship It); J (AMG;A6J - any)
204,ET53925,HiPot EI,RST,,3,2,2,,,PASSED,sshipot01,1/21/2026 13:00,00:01:02,A; G (Ship It)
